Word,English
melodie,melody
reis,trip
kantoor,office
ontvangen,receive
rij,row
mond,mouth
exacte,exact
symbool,symbol
sterven,die
minste,least
problemen,trouble
schreeuw,shout
behalve,except
schreef,wrote
zaad,seed
toon,tone
toetreden tot,join
suggereren,suggest
schoon,clean
break,break
dame,lady
yard,yard
stijgen,rise
slecht,bad
klap,blow
olie,oil
bloed,blood
aanraken,touch
groeide,grew
procent,cent
mengen,mix
team,team
draad,wire
kosten,cost
verloren,lost
bruin,brown
dragen,wear
tuin,garden
gelijk,equal
verzonden,sent
kiezen,choose
viel,fell
passen,fit
stromen,flow
eerlijk,fair
bank,bank
verzamelen,collect
besparen,save
controle,control
decimaal,decimal
oor,ear
anders,else
heel,quite
brak,broke
geval,case
midden,middle
doden,kill
zoon,son
meer,lake
momenteel,moment
schaal,scale
luid,loud
voorjaar,spring
waarnemen,observe
kind,child
straight,straight
medeklinker,consonant
natie,nation
woordenboek,dictionary
melk,milk
snelheid,speed
methode,method
orgel,organ
betalen,pay
leeftijd,age
sectie,section
kleding,dress
wolk,cloud
verrassing,surprise
rustig,quiet
steen,stone
minuscuul,tiny
klimmen,climb
koele,cool
ontwerp,design
slechte,poor
veel,lot
experiment,experiment
onderzijde,bottom
sleutel,key
ijzer,iron
enkelvoudige,single
stok,stick
flat,flat
twintig,twenty
huid,skin
glimlach,smile
vouw,crease
gat,hole
springen,jump
kindje,baby
acht,eight
dorp,village
ontmoeten,meet
wortel,root
kopen,buy
verhogen,raise
op te lossen,solve
metalen,metal
of,whether
duw,push
zeven,seven
paragraaf,paragraph
derde,third
zal,shall
gehouden,held
haar,hair
beschrijven,describe
kok,cook
vloer,floor
ofwel,either
resultaat,result
verbranden,burn
hill,hill
veilig,safe
kat,cat
eeuw,century
overwegen,consider
soort,type
wet,law
beetje,bit
kust,coast
kopie,copy
zinsnede,phrase
stil,silent
hoog,tall
zand,sand
bodem,soil
rol,roll
temperatuur,temperature
vinger,finger
industrie,industry
waarde,value
strijd,fight
leugen,lie
verslaan,beat
excite,excite
natuurlijke,natural
view,view
sense,sense
hoofdstad,capital
zal niet,won't
stoel,chair
gevaar,danger
fruit,fruit
rijk,rich
dikke,thick
soldaat,soldier
proces,process
werken,operate
praktijk,practice
apart,separate
moeilijk,difficult
arts,doctor
aub,please
beschermen,protect
middag,noon
gewas,crop
moderne,modern
onderdeel,element
hit,hit
leerling,student
hoek,corner
partij,party
levering,supply
wiens,whose
lokaliseren,locate
kookplaten,ring
karakter,character
insecten,insect
gevangen,caught
periode,period
geven,indicate
radio In,radio
sprak,spoke
atoom,atom
menselijk,human
geschiedenis,history
werking,effect
elektrische,electric
verwachten,expect
bot,bone
spoor,rail
stel,imagine
bieden,provide
instemmen,agree
dus,thus
zachte,gentle
vrouw,woman
kapitein,captain
denk,guess
noodzakelijk,necessary
scherpe,sharp
vleugel,wing
creëren,create
buurman,neighbor
wassen,wash
vleermuis,bat
eerder,rather
menigte,crowd
maïs,corn
vergelijken,compare
gedicht,poem
koord,string
bell,bell
afhangen,depend
vlees,meat
wrijven,rub
buis,tube
beroemde,famous
deas,dollar
stroom,stream
angst,fear
zicht,sight
dun,thin
driehoek,triangle
planeet,planet
haast,hurry
chief,chief
kolonie,colony
klok,clock
de mijne,mine
stropdas,tie
voeren,enter
grote,major
vers,fresh
zoeken,search
sturen,send
geel,yellow
pistool,gun
toelaten,allow
afdrukken,print
dood,dead
plek,spot
woestijn,desert
pak,suit
huidige,current
lift,lift
gestegen,rose
aankomen,arrive
meester,master
spoor,track
ouder,parent
oever,shore
divisie,division
blad,sheet
stof,substance
gunst,favor
aansluiten,connect
post,post
besteden,spend
akkoord,chord
vet,fat
blij,glad
origineel,original
aandeel,share
station,station
dad,dad
brood,bread
rekenen,charge
behoorlijk,proper
bar,bar
aanbod,offer
segmenten,segment
slaaf,slave
eend,duck
onmiddellijke,instant
markt,market
graad,degree
bevolken,populate
kuiken,chick
lieve,dear
vijand,enemy
antwoorden,reply
drankje,drink
voorkomen,occur
ondersteuning,support
spraak,speech
natuur,nature
reeks,range
stoom,steam
beweging,motion
pad,path
vloeistof,liquid
aanmelden,log
betekende,meant
quotiënt,quotient
tanden,teeth
schelp,shell
nek,neck
zuurstof,oxygen
suiker,sugar
dood,death
vrij,pretty
vaardigheid,skill
vrouwen,women
seizoen,season
oplossing,solution
magneet,magnet
zilver,silver
dank,thank
tak,branch
wedstrijd,match
achtervoegsel,suffix
vooral,especially
vijg,fig
bang,afraid
reusachtig,huge
zus,sister
staal,steel
bespreken,discuss
vooruit,forward
gelijkaardige,similar
begeleiden,guide
ervaring,experience
partituur,score
appel,apple
gekocht,bought
geleid,led
toonhoogte,pitch
coat,coat
massa,mass
kaart,card
band,band
touw,rope
slip,slip
win,win
dromen,dream
avond,evening
voorwaarde,condition
voer,feed
gereedschap,tool
totaal,total
elementaire,basic
geur,smell
dal,valley
noch,nor
dubbel,double
zitje,seat
blijven,continue
blokkeren,block
grafiek,chart
hoed,hat
verkopen,sell
succes,success
bedrijf,company
aftrekken,subtract
evenement,event
bijzonder,particular
deal,deal
zwemmen,swim
termijn,term
tegengesteld,opposite
vrouw,wife
schoen,shoe
schouder,shoulder
spreiding,spread
regelen,arrange
kamp,camp
uitvinden,invent
katoen,cotton
geboren,born
bepalen,determine
quart,quart
negen,nine
vrachtwagen,truck
geluidsoverlast,noise
niveau,level
kans,chance
verzamelen,gather
winkel,shop
rekken,stretch
gooien,throw
glans,shine
pand,property
column,column
molecuul,molecule
selecteren,select
mis,wrong
grijs,gray
herhaal,repeat
vereisen,require
brede,broad
bereiden,prepare
zout,salt
neus,nose
meervoud,plural
woede,anger
vordering,claim
werelddeel,continent 
